Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Colour,Seats,No. of Doors,Price,Brand,Model,CarAge
9,68000,1,0,0,15.6,1896,106,1,5,4,4.8,23,104,11
8,51000,1,1,0,19.67,1582,126.2,2,5,4,9.2,9,53,6
7,26023,1,0,0,11.36,2755,171.5,0,7,4,19.97,26,96,5
10,120300,1,0,2,12.07,2967,228.25,1,7,5,18,0,134,14
9,8950,4,1,0,17.71,1197,78.9,1,5,4,3.55,26,70,9
10,92000,0,1,2,26.2,998,58.2,1,5,4,3,16,183,10
5,11691,4,1,0,18.6,1197,81.83,1,5,4,8.9,9,204,4
9,100000,4,1,0,17.57,1193,88.7,2,5,4,4.25,25,202,5
8,35000,4,0,0,8.1,3163,228.25,0,2,2,29.5,17,149,12
5,58307,4,1,0,15.3,1341,83,2,5,4,1.95,9,88,15
5,121362,1,1,0,13.68,2393,147.8,1,7,4,16,26,96,6
2,48000,1,1,0,13.68,2393,147.8,1,7,4,20.25,26,96,6
5,34834,4,1,0,14,796,35,0,5,4,2.6,16,119,9
0,42388,1,0,0,11.36,2755,171.5,2,7,4,18,26,96,6
2,52000,1,0,0,18.33,1968,167.7,2,5,4,9,27,125,12
6,131500,1,1,0,17.8,1248,75,0,5,4,2.9,16,166,12
3,36840,4,1,0,18.9,1197,82,0,5,4,5.64,9,89,7
7,29219,1,1,0,12.99,2494,100.6,1,8,5,13.48,26,96,5
7,21603,1,0,0,13,2987,228.25,0,5,4,70.15,17,60,4
5,26000,1,1,0,6.5,2498,98.145,2,6,5,6.99,15,98,13
8,27000,4,1,0,17.5,1298,85.8,1,5,4,4.45,16,166,7
9,25000,4,0,0,14.74,1991,181.04,0,5,4,14.85,17,115,9
3,101119,1,0,0,11,2993,228.25,1,5,4,18.46,1,187,12
8,65000,4,1,0,17.57,1193,88.7,1,5,4,4.8,25,202,5
10,71473,4,0,2,13.7,1798,157.75,2,5,4,5.35,23,165,12
6,60000,1,1,0,20.45,1461,83.8,0,5,4,6,20,170,8
0,76000,0,1,0,26.3,998,67.1,1,5,4,2,16,201,11
5,84000,1,1,2,17.8,1399,68,1,5,4,2.41,7,74,12
5,53766,4,1,0,19,998,66.1,2,5,4,2.7,16,8,11
8,38755,1,1,0,25.8,1498,98.6,2,5,4,3.2,8,17,9
9,36000,1,1,0,11.36,2755,171.5,2,8,5,17.5,26,96,6
3,32251,1,1,0,22.54,1396,88.73,2,5,4,8.61,9,204,3
8,45296,1,1,0,25.1,1248,88.5,0,5,4,6.99,16,146,6
7,25238,4,1,0,18.7,1199,88.7,1,5,4,6.2,8,97,6
2,62000,1,0,2,14.84,2143,170,1,5,4,12.5,17,115,9
4,62549,0,1,0,26.6,998,58.16,0,5,4,2.95,16,183,8
1,16000,1,0,0,14.69,2993,228.25,1,5,4,48,1,3,6
3,56238,1,0,0,11.33,3163,228.25,1,7,5,51.69,0,134,7
8,38000,4,1,0,18.5,1197,80,2,5,4,2.23,9,204,12
10,66000,4,1,2,17,1197,80,2,5,4,2.7,9,204,13
5,131500,1,1,0,12.8,2494,102,0,8,5,13.2,26,96,7
5,50000,1,0,0,12.9,2993,228.25,2,4,4,45,11,193,10
8,45128,1,1,0,12.05,2179,120,0,8,5,6.75,15,158,8
4,55818,4,1,2,17.4,1497,117.3,0,5,4,5.7,8,44,8
2,55000,4,1,0,16.8,1497,116.3,1,5,4,7.1,8,44,8
0,66000,1,0,0,6.5,2987,165,2,5,4,23,17,107,10
8,39000,1,1,0,25.6,1498,98.6,0,5,4,5.49,8,44,7
6,31056,4,1,0,23.01,999,67,1,5,4,3.6,22,101,5
9,57000,1,1,0,24.2,1498,98.6,2,7,5,5.75,8,111,8
1,3000,4,0,2,12,3163,228.25,2,2,2,90,17,151,8
6,91000,1,1,0,19.87,1461,83.8,0,5,4,5.75,22,57,7
6,78046,1,1,0,19.67,1582,126.2,2,5,4,10.9,9,53,7
0,31000,1,1,0,15.1,2179,140,0,7,5,9.5,15,195,8
4,62542,1,1,2,23.9,1582,126.2,0,5,4,6.5,9,179,7
9,75000,1,1,0,19.1,1405,70,0,5,4,3.3,25,94,8
4,86000,1,1,0,11.5,2982,171,0,7,5,11.5,26,77,11
9,44000,4,0,0,17.1,1591,121.4,2,5,4,5.6,9,179,9
4,60750,4,1,0,14.28,1798,138.03,1,5,4,10.5,26,51,8
4,86000,1,0,2,13.01,2199,194.3,2,7,5,9.5,9,155,10
7,32345,1,0,0,17.9,2143,136,2,5,4,24.51,17,33,6
6,70000,4,1,0,21.1,814,55.2,2,5,4,3,9,61,6
8,30000,4,1,0,16.47,1198,73.9,1,5,4,2.8,27,128,9
3,75464,4,1,0,15.6,1196,70,1,5,4,3.62,7,75,10
2,131500,1,1,2,14,2489,95,1,8,5,3.5,15,198,9
9,29401,4,1,0,20.4,1197,81.8,2,5,4,4.31,16,166,6
5,91000,1,0,0,11.4,2953,153.86,0,7,5,9.2,7,66,10
8,46000,4,1,0,15.26,1598,103.5,2,5,4,2.35,27,128,11
8,48000,1,0,0,22.32,1582,126.32,2,5,4,5.1,9,179,8
1,53000,1,0,0,12.8,1968,167.6,2,5,4,23,0,133,11
9,75000,4,1,2,11.1,2354,158.8,1,5,4,3.9,8,35,14
5,128000,1,1,0,25.8,1498,98.6,2,5,4,6.3,8,17,5
3,22397,4,0,0,11.5,2996,228.25,1,5,4,70.99,17,83,4
2,131500,1,0,0,11,2993,228.25,0,5,4,18.75,1,187,13
5,107000,1,0,0,14.84,2143,170,2,5,4,11.99,17,115,12
7,36967,4,1,0,20.92,998,67.1,1,5,4,3.64,16,16,8
9,9000,4,1,2,17.01,1591,121.3,0,5,4,5.5,9,179,8
3,9565,4,1,0,23.84,1199,84,2,5,4,5.88,25,172,4
2,89326,1,1,3,17.8,1399,68,1,5,4,1.55,7,74,16
5,25000,4,1,0,25.17,799,53.3,2,5,4,3.8,22,101,6
6,75800,1,1,2,16.55,2498,105,2,6,5,5.5,15,171,10
7,40175,1,1,2,22.54,1396,88.73,2,5,4,6.36,9,204,4
10,41629,4,1,2,14.83,1598,105,0,5,4,2.25,23,73,10
10,75695,4,1,0,13.7,1368,88.8,1,5,4,1.85,25,109,12
3,62497,4,1,0,15.8,1499,110,0,5,4,7.52,7,62,8
9,88000,4,1,0,19.1,1197,85.8,1,5,4,3.85,16,166,10
4,17000,4,1,0,20.73,1373,91.1,0,5,4,7.65,16,43,5
9,81000,4,1,2,12.8,1493,100,2,5,4,1.1,8,44,16
10,29000,1,0,0,12.9,2755,174.5,1,7,5,31,26,77,5
8,60048,1,1,0,26.1,1498,99,1,5,4,6,7,19,5
9,22000,4,1,0,16.47,1198,74,0,5,4,4.75,27,128,7
5,70259,1,1,0,21.12,1248,88.8,2,5,4,2.95,25,109,11
1,21000,1,0,0,21.76,1995,190,2,5,4,35,1,2,5
10,82329,4,0,0,18,1497,117.3,0,5,4,7.5,8,44,8
9,52000,1,0,0,14.16,1968,174.3,2,5,4,25.49,0,133,7
5,92247,1,1,0,12.99,2494,100.6,1,7,4,12.5,26,96,8
1,71231,1,1,2,16,2179,140,2,7,5,9.75,15,195,9
5,67000,1,1,0,13.68,2393,147.8,2,7,4,16.5,26,96,5
4,75319,4,1,2,21.1,1197,85.8,2,5,4,2,16,142,12
4,64103,1,0,0,15.73,1968,174.33,2,5,4,19.9,0,132,7
2,60000,1,1,0,15,1896,105,0,5,4,4,27,99,13
7,74755,1,1,0,19.6,1461,108.45,0,5,4,5.63,22,57,9
8,55000,4,1,0,16.47,1198,73.9,0,5,4,2.25,27,128,12
7,81828,1,1,0,24,1186,73.97,0,5,4,5.43,9,89,7
4,63000,1,1,0,23.59,1364,67.04,1,5,4,4.35,26,70,8
10,95000,1,1,0,15.1,2179,140,1,7,5,7.21,15,195,10
10,79000,1,1,2,15.8,2148,170,1,5,4,15.5,17,115,9
5,57266,1,1,0,20.5,1248,91.72,0,5,4,6.5,5,21,7
10,131500,1,0,3,18.48,1995,177,0,5,4,12,1,3,12
5,50000,1,0,0,17.9,2143,201.15,1,5,4,49,17,84,6
8,60170,4,1,0,6.5,1086,62,2,5,4,1.15,9,156,13
8,32048,1,1,0,23.08,1461,63.1,1,5,4,2.4,20,110,10
5,60000,1,0,0,17.11,1968,174.33,2,5,4,25,0,10,7
2,49000,4,1,0,17.5,1298,85.8,0,5,4,4.9,16,166,10
4,58000,1,1,0,25.8,1498,98.6,0,5,4,4.45,8,17,7
4,72000,1,1,0,12.05,2179,120,0,8,5,4.4,15,158,12
0,54000,1,1,0,20.34,1498,103.2,2,5,4,4.9,27,177,8
7,58817,1,1,0,19.87,1461,83.14,1,5,4,6.25,20,170,7
8,35000,4,1,0,19.4,1198,86.8,2,5,4,2.85,8,31,8
5,92000,4,1,0,13.8,1299,70,1,5,4,1.25,7,93,15
1,68000,1,1,0,21.9,1396,88.76,2,5,4,4.4,9,204,10
5,113562,1,1,0,23,1396,90,2,5,4,4.6,9,204,11
10,49700,1,1,2,21.9,1396,88.76,2,5,4,4.18,9,204,10
2,15000,1,0,0,15.97,2993,228.25,0,5,4,70,1,187,5
9,54890,4,1,2,17.8,1199,76.8,2,5,4,2.45,3,26,8
7,25040,4,1,0,21.4,1197,83.1,1,5,4,7.74,16,25,5
3,17738,1,0,0,15.3,2993,228.25,2,5,4,54.45,1,187,6
6,131500,1,1,2,22.9,1248,74,0,5,4,3.9,16,166,10
7,21936,1,0,0,21.76,1995,190,2,5,4,37.92,1,2,4
9,35000,4,0,2,11.9,3163,228.25,0,5,4,32,21,39,12
5,21000,4,0,0,18.9,1197,82,2,5,4,6.2,9,89,6
9,58075,4,1,0,17.5,1298,85.8,0,5,4,2.95,16,166,11
8,30000,1,1,0,22.07,1199,73.9,1,5,4,3.25,27,128,8
9,23152,4,1,0,15.6,1196,70.02,1,5,4,2.39,7,75,10
10,90456,4,1,2,16.1,1298,88.2,0,5,4,3,16,166,13
7,61730,1,0,0,12.39,2179,147.51,0,5,4,19.94,14,143,8
9,87143,1,1,0,12.99,2494,100,2,8,5,12.5,26,96,8
8,25135,1,1,0,24,1120,70,0,5,4,3.75,9,89,8
3,62788,4,1,0,18.9,1197,81.86,0,5,4,6.08,9,89,5
5,36000,1,1,0,20,1399,68.05,0,5,4,4.95,7,75,7
5,76496,1,1,0,25.2,1248,74,2,5,4,6.15,16,166,7
9,12000,4,1,0,24.07,998,67.1,0,5,4,3.25,16,16,5
9,85000,4,0,2,10.5,1796,157.7,2,5,4,5.5,17,60,16
1,75000,4,1,2,16.47,1198,73.9,0,5,4,3.95,27,128,10
8,46500,1,1,0,27.4,1498,98.6,0,5,4,3.3,8,17,9
10,37000,1,1,0,17.8,1248,98.145,2,5,4,4.85,16,166,9
10,79494,0,1,0,29.86,998,67.04,0,5,4,2.96,16,183,9
3,101337,1,0,0,12.55,2982,168.5,2,7,5,21.67,26,77,7
8,23000,4,1,0,16.8,796,34.2,1,5,4,1.5,16,119,7
5,94753,4,1,0,19.7,796,46.3,1,5,4,1.95,16,16,12
1,50000,1,1,0,24,1120,70,1,5,4,5.5,9,89,6
9,53000,0,1,0,22.1,1586,85.7,1,5,4,3.26,16,152,8
3,23540,4,1,0,18.9,1197,82,0,5,4,6.02,9,89,5
5,35000,4,1,0,19.7,796,46.3,0,5,4,1.7,16,16,13
8,60000,4,1,0,19,998,66.1,0,5,4,1.35,16,8,12
4,67000,1,0,0,16.55,1968,147.51,2,5,4,14.5,0,10,9
2,79000,1,1,0,23.5,1396,88.7,1,5,4,6.5,9,179,9
9,41000,4,1,0,20.36,1197,78.9,2,5,4,2.65,9,203,11
9,14470,1,0,0,19.71,2143,201.15,1,5,4,38.5,17,115,5
2,76000,1,1,0,20,1399,68,0,5,4,2.4,7,75,11
5,75160,1,1,0,20.14,1498,88.5,1,5,4,5.7,27,54,8
6,131500,4,0,2,11.3,1794,125,1,5,4,1.5,26,51,16
7,20446,4,0,0,12.6,1950,191.34,0,5,4,51.35,17,60,4
5,109606,1,1,0,22,1582,126.2,0,5,4,2.9,9,179,14
10,40000,4,0,2,12.05,1995,154,0,5,4,9.5,1,2,13
4,70000,4,1,0,19,998,66.1,0,5,4,2,16,8,12
7,62020,4,1,0,17,1197,80,0,5,4,3.45,9,204,11
5,100000,4,1,2,15.8,1499,110,0,5,4,6.5,7,62,9
1,29000,1,0,0,14.21,2143,203,1,5,4,29,17,60,9
4,58000,4,1,0,16.47,1198,73.9,2,5,4,3.95,27,128,7
10,88123,1,1,0,18.7,1896,66,1,5,4,2.2,23,118,14
2,84072,1,1,0,17.8,1248,75,2,5,4,3.45,16,166,12
9,54000,1,1,2,19.01,1461,108.5,2,5,4,6,20,170,7
4,54000,4,1,2,17.8,1199,76.8,2,5,4,1.95,3,26,12
9,75308,1,1,2,21.1,1248,73.9,1,5,4,2.8,16,142,11
5,66000,4,1,0,19.7,796,46.3,1,5,4,1.7,16,16,14
9,45200,1,0,0,10,2148,170,1,5,4,23,17,60,9
2,51000,4,1,0,19.1,1197,82,2,5,4,3.85,9,196,8
2,65000,4,1,0,19.7,796,46.3,2,5,4,1.59,16,16,14
4,27365,1,1,0,28.4,1248,74,0,5,4,4.75,16,166,8
5,41000,1,1,0,21.14,1498,103.52,2,5,4,8.5,23,139,6
5,131500,1,1,2,14.07,2956,83.1,2,7,5,1.5,25,163,16
5,79894,1,1,0,21.1,1248,73.9,2,5,4,3.4,16,142,12
3,50297,4,1,0,16.95,1498,97.6,1,5,4,4.69,20,164,10
9,35000,4,1,0,20.36,1197,78.9,0,5,4,2.75,9,203,11
4,71000,4,1,0,17,1197,80,1,5,4,3.65,9,204,9
3,50058,4,0,0,19.2,1197,80,1,5,4,3.84,9,203,11
6,22000,1,1,0,16,2179,140,1,7,5,16,15,195,5
8,55000,1,1,0,25.1,1498,98.6,1,5,4,5.99,8,44,8
2,55000,1,1,0,20.54,1598,103.6,1,5,4,4.9,27,177,10
5,53000,1,1,0,26,1498,98.6,2,5,4,9.75,8,44,6
8,43068,1,1,0,24,1120,70,0,5,4,3.5,9,89,8
4,64000,4,1,0,17,1497,118,1,5,4,3.1,8,44,13
6,54455,1,0,0,22,1498,108.495,1,5,4,6.5,27,18,5
1,75000,4,0,2,13.7,1798,157.75,2,5,4,4.95,23,165,13
6,63000,4,0,0,13.4,1997,135.1,1,5,4,4.75,22,76,11
3,39882,4,0,0,19.15,1198,75.94,2,5,4,6.55,20,110,6
5,18456,4,1,0,17,1198,73.75,0,5,4,5.75,27,18,6
1,62000,4,1,0,16.47,1198,74,1,5,4,5.35,27,128,8
7,35981,1,1,0,24.3,1248,88.5,2,5,4,9.51,16,180,5
10,57000,1,1,0,21.8,1461,78,1,5,4,4.61,22,76,9
10,90000,1,1,2,21.03,1461,65,1,5,4,3.1,15,178,7
5,95291,4,1,0,17.92,1086,62.1,2,5,4,2.3,9,156,14
4,79000,4,1,2,13.4,1794,125,2,5,4,1.67,26,51,16
5,76362,1,1,0,24,1120,70,2,5,4,5.5,9,89,7
3,79012,4,1,0,13.4,1794,125,1,5,4,2.64,26,51,16
9,19000,4,1,0,20.4,1197,81.8,0,5,4,5.55,16,166,6
6,65634,1,1,0,22.07,1199,73.9,2,5,4,3.5,27,128,10
8,21771,4,1,0,18.7,1199,88.7,0,5,4,4.95,8,97,6
5,131500,1,1,2,17.88,1396,52.8,1,5,4,0.85,25,94,16
6,75049,4,1,2,20.36,1197,78.9,1,5,4,3,9,203,9
5,75000,1,0,0,17.2,1968,138.1,1,5,4,9.44,23,165,11
7,31150,1,0,0,16.36,1493,98.145,2,5,4,30.54,11,192,6
5,78401,1,1,0,23.2,1248,73.94,1,5,4,3.9,16,142,10
8,32807,4,1,0,19.4,1198,86.8,2,5,4,2.75,8,31,9
7,30754,4,1,0,17,1197,80,2,5,4,3.38,9,204,12
6,111000,4,1,2,18.9,1061,67,1,5,4,1.51,16,183,13
9,31000,4,1,0,18.7,1199,88.7,1,5,4,4.9,8,97,7
9,24000,4,1,0,24.7,796,47.3,2,5,4,2.8,16,16,6
3,64637,1,1,0,22.77,1498,98.59,0,5,4,7.52,7,62,8
6,74213,1,0,0,14.84,2143,170,2,5,4,11.5,17,115,12
2,131500,1,1,2,17.8,1248,75,0,5,4,2,16,166,15
8,47000,1,1,0,21.64,1461,84.8,1,5,4,4,20,164,10
7,30453,1,1,0,22.77,1498,98.59,1,5,4,8.45,7,62,5
9,54546,4,1,0,17,1497,118,2,5,4,5.5,8,44,8
9,53000,1,0,0,12.4,2698,179.5,1,5,4,11.5,0,11,12
4,42000,1,0,0,15.73,1968,174.33,1,5,4,23.5,0,132,6
1,75000,1,0,0,22.32,1582,126.32,0,5,4,7.75,9,179,4
2,131500,1,1,0,13.1,2499,141,1,7,5,5.5,7,66,15
5,3678,4,1,0,18.16,1196,86.8,1,5,4,6.8,7,75,4
7,42706,1,1,0,25.44,936,56.3,2,5,4,2.4,3,26,10
9,83128,1,1,0,15.4,2179,120,0,7,5,7.45,15,158,8
9,38000,1,1,0,13.68,2393,147.8,0,7,4,17.65,26,96,5
5,62000,1,1,0,20.14,1498,88.8,2,5,4,6.25,27,128,7
8,36000,1,1,0,26.59,1248,74,2,5,4,4.7,16,166,7
2,14000,4,0,0,22.5,999,67,0,5,4,4.5,22,101,4
4,32400,1,1,0,20.14,1498,88.8,0,5,4,3.95,27,128,8
3,56658,1,1,0,20.64,1498,108.5,0,5,4,5.39,27,177,8
5,48425,1,1,0,23.08,1461,63.12,2,5,4,3.4,22,130,8
3,20026,4,0,0,19,1199,88.7,0,5,4,9.27,8,97,4
8,5000,4,1,0,17,1591,121.3,2,5,4,8.7,9,179,4
3,42366,1,0,0,15.73,1968,174.33,1,5,4,31.93,0,132,5
4,40000,1,1,2,13,2982,168.5,2,7,5,18.75,26,77,7
4,62489,4,1,0,17,1197,80,0,5,4,2.6,9,204,12
6,81456,1,1,0,15.8,2148,170,1,5,4,14.25,17,115,9
4,80000,1,1,0,23.57,1396,70,2,5,4,1.2,25,95,11
5,62000,1,1,0,22.07,1199,73.9,2,5,4,4.65,27,128,10
3,56652,1,0,0,13,2987,228.25,0,5,4,50.29,17,60,4
3,12153,4,0,0,18.9,1197,81.86,0,5,4,6.84,9,89,3
1,21000,1,0,2,12.07,2967,228.25,2,7,5,52.5,0,134,7
8,60001,1,0,0,17.11,1968,174.33,1,5,4,14.5,0,10,9
4,72000,1,1,0,12.8,2494,102,1,8,5,5.45,26,96,12
9,7000,4,1,0,16.47,1198,74,0,5,4,5.35,27,128,8
10,52000,4,1,2,18.9,998,67.1,0,5,4,2,16,183,16
9,56087,1,0,0,22.69,1995,190,2,5,4,20.75,1,2,7
2,111000,4,0,0,13,2987,210,1,5,4,6.5,17,145,16
8,41284,1,1,0,20,1399,68.05,2,5,4,2.5,7,75,10
8,7445,4,1,0,17.57,1193,88.7,1,5,4,5,25,202,7
1,74112,1,1,0,12.05,2179,120,2,9,5,4.1,15,158,15
5,81000,4,1,0,20.92,998,67.1,1,5,4,2.2,16,16,11
8,24000,4,1,0,16.47,1198,73.9,1,5,4,2.95,27,128,9
8,24000,4,1,2,17.01,1591,121.3,0,5,4,6.2,9,179,10
5,75000,1,1,2,17.7,1399,68,0,5,4,3,7,80,14
7,46493,4,1,0,18.9,1197,81.86,0,5,4,5.53,9,89,4
10,72400,4,1,2,20.36,1197,78.9,2,5,4,2.3,9,203,12
3,25142,1,1,0,28.09,1248,88.5,1,5,4,8.26,16,43,5
1,131500,4,1,0,6.5,1086,98.145,1,5,4,1.35,9,156,16
4,40000,1,1,2,26.59,1248,74,1,5,4,4.5,16,166,7
7,46897,4,1,0,21.1,814,55.2,1,5,4,3.61,9,61,5
2,25000,1,1,0,20.14,1498,88,0,5,4,6.9,27,128,5
8,42109,1,1,0,23.4,1248,74,2,5,4,4.25,16,166,8
8,40000,4,1,0,20.51,998,67.04,1,5,4,2.49,16,183,8
4,65694,4,1,0,18.9,998,67.1,0,5,4,3.25,16,183,8
1,45000,1,0,0,17.05,1995,184,2,5,4,28.5,1,185,6
8,43000,1,1,0,16,2179,140,1,7,5,7,15,195,9
4,47000,1,1,0,17.8,1248,98.145,2,5,4,4.1,16,166,9
7,30566,4,0,0,19.2,1197,80,2,5,4,3.32,9,203,12
3,56251,1,1,0,14.24,2755,174.5,0,7,5,35.82,26,77,3
9,41000,4,1,0,20.73,1373,91.1,2,5,4,5.85,16,43,7
8,37000,4,1,0,18.9,1197,82,0,5,4,3.5,9,89,8
1,50000,1,0,0,11.33,3163,228.25,1,7,5,51,0,134,8
10,60000,4,0,0,16.8,1497,118,2,5,4,5.5,8,44,10
5,74000,1,1,0,22.07,1199,73.9,0,5,4,5.7,27,128,8
6,34429,1,0,0,13.8,2999,174.57,0,7,5,20,10,108,5
2,131500,4,0,3,14.4,1997,152,2,5,4,3,8,35,16
3,43827,1,0,0,13.22,2967,228.25,2,5,4,36.83,0,133,5
4,52000,4,1,0,16.47,1198,73.9,1,5,4,3.1,27,128,10
7,46936,1,0,0,13,2143,204,2,5,4,29.6,17,60,6
2,100000,4,1,0,16.6,1388,68,2,5,4,1.6,7,74,15
1,85000,1,1,0,17.8,1399,68,0,5,4,3.2,7,74,11
10,70290,4,1,2,17.24,1198,73.9,1,5,4,2.96,27,128,12
3,61578,4,1,0,18.9,1197,82,2,5,4,6.4,9,89,6
10,37000,4,0,2,13.6,1598,181,2,4,4,17,18,50,10
3,58629,1,0,2,18.25,1493,98.145,2,5,4,16.52,0,10,9
6,72000,1,1,0,22.32,1582,126.3,1,5,4,5,9,179,11
10,50000,4,0,0,23.1,998,67.04,1,5,4,3.9,16,42,7
5,53000,4,1,0,20.36,1197,78.9,1,5,4,3.2,9,203,10
10,115000,1,1,2,20.54,1598,103.6,1,5,4,4.33,27,177,10
4,38000,1,0,0,14.84,2143,170,0,5,4,13.51,17,115,10
5,131500,1,1,2,18,1248,75,2,5,4,3.5,25,94,8
4,51000,4,0,0,18,1497,117.3,2,5,4,7.9,8,44,7
2,100400,1,1,0,25,1396,69,2,5,4,2.85,25,94,5
9,18000,4,1,0,18.16,1196,86.8,1,5,4,4.9,7,75,6
3,56532,1,1,0,16,2179,140,2,7,5,15.54,15,195,6
7,66337,1,1,0,24,1120,70,1,5,4,4.96,9,89,7
7,50161,4,0,0,8.77,3163,228.25,1,5,4,25.93,1,5,12
10,32000,4,0,0,18.9,1197,82,2,5,4,4.8,9,89,7
7,14857,1,0,0,20.7,1496,113.98,2,5,4,31.55,18,50,3
2,85000,1,1,2,15,1896,105,1,5,4,3.5,27,99,13
8,41100,1,0,0,16.77,2993,228.25,1,5,4,26.5,1,5,10
7,27413,4,0,0,20.51,998,67,0,5,4,5.18,16,183,4
3,64961,1,1,0,16,2179,140,0,7,5,16.13,15,195,5
9,3000,1,0,0,16.36,2179,187.7,2,5,4,52.5,11,192,4
5,47000,1,0,0,22.69,1995,190,1,5,4,29.5,1,2,7
8,24027,4,1,0,24.7,796,47.3,0,5,4,2.01,16,16,9
7,47357,1,0,0,18.49,1493,100,2,7,5,8.37,15,168,5
7,8243,4,1,0,21.1,814,55.2,0,5,4,3.21,9,61,5
6,45306,1,0,2,11.2,2993,228.25,1,4,4,42.5,1,188,9
7,84580,1,1,0,26,1498,98.6,0,5,4,6.83,8,44,6
3,53615,1,1,0,22.7,1582,126.24,2,5,4,8.44,9,64,7
8,32000,4,1,0,18.6,1197,81.83,2,5,4,4.8,9,204,7
8,25470,4,1,0,20.73,1373,91.1,2,5,4,5.9,16,43,7
3,24806,4,1,0,18.15,1198,82,0,6,4,5.6,15,100,5
3,50436,4,1,0,20.36,1197,78.9,0,5,4,3.65,9,203,11
3,34686,1,0,0,19.6,1461,108.45,0,5,4,11.86,22,57,5
9,51000,1,1,0,21.66,1498,108.62,1,5,4,6.45,27,18,5
5,36891,4,1,0,17.8,1497,117.3,2,5,4,10.49,8,44,6
10,43772,4,1,0,17,1497,118,1,5,4,6.35,8,44,8
5,131500,1,1,0,17.8,1399,67,1,5,4,2.1,7,74,11
9,21000,4,0,0,17.44,1998,189.08,1,4,4,21.5,18,50,9
2,40000,4,1,0,17.57,1193,88.7,1,5,4,4,25,202,7
7,25418,4,1,0,20.73,1373,91.2,2,5,4,7.09,16,43,6
3,84143,4,1,0,13,2987,210,0,5,4,17.09,17,145,15
5,96000,1,1,0,21.1,1248,73.9,2,5,4,3.6,16,142,10
9,69192,4,1,0,16.02,1373,93.7,0,7,5,6.25,16,68,8
5,55000,1,1,0,20.5,1598,103.5,1,5,4,8,23,139,9
3,65257,1,1,0,19.01,1461,108.45,1,5,4,9.75,22,57,6
7,47759,1,0,0,14.74,2993,228.25,0,5,4,31.8,11,192,7
8,77400,1,1,0,21.1,1248,73.9,0,5,4,2.5,16,142,11
5,12000,1,1,0,27.4,1498,98.6,1,5,4,8.5,8,17,4
0,55000,1,1,0,12.99,2494,100.6,1,7,4,11.11,26,96,8
5,28414,4,1,0,17,1497,118,0,5,4,8.4,8,44,6
3,50170,1,0,0,17.01,1582,126.2,1,5,4,14.79,9,53,5
9,69000,1,1,0,23.08,1461,63.1,1,5,4,3,20,110,9
0,75000,1,1,0,26,1498,98.6,2,5,4,6,8,44,8
9,48600,1,0,0,12,2987,224,2,7,5,48.5,17,81,7
4,60000,1,1,0,11.5,2982,171,0,7,5,10.85,26,77,11
1,51000,1,1,0,15.8,2148,170,2,5,4,18.5,17,115,9
7,38467,1,0,0,12.65,2993,228.25,0,5,4,70.66,14,143,7
1,16500,1,0,0,17.9,2143,136,0,5,4,34,17,82,5
1,68010,4,1,2,18.5,1197,82.85,1,5,4,5.25,9,204,8
1,23000,1,1,0,17.8,1248,98.145,2,5,4,5.6,16,166,9
8,30000,1,0,0,14.94,2967,228.25,2,5,4,9.8,0,10,12
5,120000,1,0,0,16.73,1995,218,0,5,4,10.5,1,3,15
7,45362,1,1,0,24.3,1248,88.5,2,5,4,9.38,16,180,5
9,72000,4,1,0,15.5,1586,103.3,1,5,4,2.4,16,152,12
3,57717,4,1,0,18.5,1197,85.8,2,5,4,4.31,16,142,9
10,95000,1,1,3,20,1399,68,1,5,4,2.35,7,75,11
10,121000,1,1,0,24.52,1248,88.5,1,7,5,8,16,68,5
9,33000,1,1,0,24,1120,70,2,5,4,4.75,9,89,5
3,20492,4,1,0,18.9,1197,82,1,5,4,6.34,9,89,4
9,32896,4,0,0,18,1497,117.3,2,5,4,8.9,8,44,7
8,69000,4,1,0,17.7,1497,78,2,5,4,2.7,8,44,14
4,104000,1,1,0,23.59,1364,67.06,2,5,4,3,26,70,8
10,70000,4,1,0,6.5,1086,98.145,2,5,4,1.12,9,156,15
3,44194,1,0,0,16.36,2179,187.7,0,5,4,32.8,11,192,7
5,33000,1,0,0,17.01,1582,126.2,0,5,4,14.5,9,53,6
6,48500,4,1,0,16,1368,90,0,5,4,2.5,5,105,11
5,60924,4,0,0,15.63,1499,110.4,1,5,4,8.3,7,62,6
0,39000,4,1,0,16.47,1198,74,1,5,4,3.75,27,128,9
9,53000,4,0,0,12.3,1781,163.2,0,5,4,9.5,0,10,11
9,59451,4,1,0,18.5,1197,85.8,1,5,4,3.69,16,142,8
9,47200,0,1,0,29.86,998,67.04,1,5,4,2.85,16,183,8
5,56000,4,1,0,15,1598,103.52,2,5,4,7,23,139,8
3,26981,4,1,0,16.47,1198,73.9,1,5,4,6.16,27,128,6
2,100000,1,0,2,11.3,2987,228.25,1,7,5,38,17,81,9
8,97000,1,1,0,23.2,1248,73.94,2,5,4,3,16,142,10
10,98000,1,0,0,18.56,1995,190,1,5,4,17.5,1,186,9
8,9759,4,1,0,20.3,998,68.05,1,5,4,2.75,9,61,8
2,15388,1,1,0,25.8,1498,98.6,2,5,4,7.5,8,17,6
